variable,data_type,source_dataset,grain,vintage_as_of,vintage_confidence,range,pct_non_null,description
v5_in_universe,bool,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,45250 True / 4018 False,100.0,"TRUE = high school inside the v5 scoring universe (45,250 of 49,268 rows). FALSE = college or test record, removed by CEEB length = 4 OR Category = College"
rigor_score_v5,float64,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,-2.339 to 3.326,46.4,"Continuous weighted composite over the nine components, z-score based. Null where index weight coverage < 0.25. SHIPPED SCORE"
rigor_tier_num_v5,float64,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,1 to 5,46.4,"Five-tier ordinal 1-5, Jenks natural breaks on rigor_score_v5. Numeric twin of rigor_tier_label_v5"
rigor_tier_label_v5,object,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,5 distinct values,46.4,"Five-tier label, Jenks natural breaks: Below Average .. Most Demanding. PRIMARY FIELD for admissions use. 22,869 scored; 1,441 Most Demanding"
rigor_tier_num_v5_quantile,float64,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,1 to 5,46.4,"Equal-frequency tier number, cut-point sensitivity check. Do not ship -- alternate tiering, not the delivered assignment"
rigor_tier_label_v5_quantile,object,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,5 distinct values,46.4,"Equal-frequency tier label, cut-point sensitivity check. Do not ship -- alternate tiering, not the delivered assignment"
rigor_score_v5_sector,float64,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,-4.081 to 4.416,41.1,Composite standardized within public / private separately. Alternative to the pooled score -- client decision pending
rigor_tier_num_v5_sector,float64,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,1 to 5,41.1,Within-sector tier number. Alternative to pooled -- client decision pending
rigor_tier_label_v5_sector,object,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,5 distinct values,41.1,Within-sector tier label. Alternative to pooled -- client decision pending
rigor_expected_ses,float64,docs/RIGOR_FORMULA_V5.md (31 July 2026); code etl/build_rigor_v5.py,school,Index built 2026-07-31 from Capstone_Org_Data_extended_v4_full_2026-07-31.xlsx,confirmed,-1.311 to 0.4733,38.9,"Score predicted from socioeconomic context (district child poverty, FRL rate). Fitted value only; the residual below is the usable measure"
