variable,data_type,source_dataset,grain,vintage_as_of,vintage_confidence,description,notes
sector,text,Sheng's combined schools export (NCES CCD public + PSS private backbone),school,not confirmed in repo — ask Sheng which NCES/PSS pull year,inferred,public vs. private school,
school_id,text,Sheng's combined schools export (NCES CCD public + PSS private backbone),school,not confirmed in repo — ask Sheng which NCES/PSS pull year,inferred,Sheng's file's own school identifier (primary key of this table),
nces_id_7,text,Sheng's combined schools export (NCES CCD public + PSS private backbone),school,not confirmed in repo — ask Sheng which NCES/PSS pull year,inferred,"NCES 7-digit school ID (truncated ELSI export ID, not the full 12-digit NCESSCH)",
nces_id_12,text,Sheng's combined schools export (NCES CCD public + PSS private backbone),school,not confirmed in repo — ask Sheng which NCES/PSS pull year,inferred,NCES 12-digit school ID (LEAID + in-district code),
pss_id,text,Sheng's combined schools export (NCES CCD public + PSS private backbone),school,not confirmed in repo — ask Sheng which NCES/PSS pull year,inferred,NCES Private School Survey (PSS) school ID,
school_name,text,Sheng's combined schools export (NCES CCD public + PSS private backbone),school,not confirmed in repo — ask Sheng which NCES/PSS pull year,inferred,school name,
address,text,Sheng's combined schools export (NCES CCD public + PSS private backbone),school,not confirmed in repo — ask Sheng which NCES/PSS pull year,inferred,street address,
city,text,Sheng's combined schools export (NCES CCD public + PSS private backbone),school,not confirmed in repo — ask Sheng which NCES/PSS pull year,inferred,city,
state,text,Sheng's combined schools export (NCES CCD public + PSS private backbone),school,not confirmed in repo — ask Sheng which NCES/PSS pull year,inferred,state,
zip,bigint,Sheng's combined schools export (NCES CCD public + PSS private backbone),school,not confirmed in repo — ask Sheng which NCES/PSS pull year,inferred,ZIP code,
county,text,Sheng's combined schools export (NCES CCD public + PSS private backbone),school,not confirmed in repo — ask Sheng which NCES/PSS pull year,inferred,county name,
locale,text,Sheng's combined schools export (NCES CCD public + PSS private backbone),school,not confirmed in repo — ask Sheng which NCES/PSS pull year,inferred,NCES locale code (city/suburb/town/rural),
school_level,text,Sheng's combined schools export (NCES CCD public + PSS private backbone),school,not confirmed in repo — ask Sheng which NCES/PSS pull year,inferred,grade span level (elementary/middle/high/secondary),
charter,text,Sheng's combined schools export (NCES CCD public + PSS private backbone),school,not confirmed in repo — ask Sheng which NCES/PSS pull year,inferred,charter school flag,
school_type,text,Sheng's combined schools export (NCES CCD public + PSS private backbone),school,not confirmed in repo — ask Sheng which NCES/PSS pull year,inferred,"school type (regular, magnet, vocational, etc.)",
